"","tags","description"
"2","2-4-years-experience-needed salary full-time-job","ICR Staffing is now accepting resumes for Industrial Maintenance Mechanics. This is an experienced position, requiring prior hands-on, working experience. Successful candidates will possess a positive, high-energy and professional attitude with a strong desire to work and achieve. The position is located in the southern California, Inland-Empire, is full-time and offers a starting salary of 43 - 53K per year, D.O.E. This position is temp-to-hire, though for highly qualified candidates there is potential for direct hire to include benefits.  Successful Maintenance Mechanics will possess…  … 3-5 years hands-on, MANUFACTURING  or PLASTICS industry experience.  … knowledge and experience with; hydraulics, pneumatics, pumps, valves, cylinders, scales, conveyors.  … electrical knowledge of; AC/DC motor controls and drives, control circuitry.   … ability to read schematics, maintain electrical systems up to 480V 3-phase, run conduit and pull wire.  … ability to perform PLC troubleshooting  … knowledge of welding (S/S, MIG, TIG), fabrication and use of machine shop equipment  … ability to work nights and/or compressed/ alternate workweeks, which may involve 10-12 hour shifts  … a high-energy, safety-conscious work ethic.  … a courteous, professional attitude.  … excellent communication skills; verbal and written, as well as, with internal & external customers; management, peers, customers and vendors.  … a prior work history that demonstrates dependable work performance and attendance.  … ability to receive direction and carry out assigned tasks with minimal supervisor intervention.  … critical thinking skills and a troubleshooting approach to equipment maintenance.  … ability to work well with other team members or on an individual basis, based on the assigned task.  … a ‘Team-oriented’ mind-set with a willingness to perform other tasks and to do ‘whatever it takes’ to get the job done.  … ability to safely lift 40-50 lbs, continually during the course of a shift and up to 75 lbs on an infrequent basis, as required   Additional Details:  Interested applicants will be asked to complete an application for employment. Upon completion we will determine level of experience.  If an applicant meets the necessary qualification(s) we may invite you to complete the remainder of the process.  Drug test and background will be completed on site. The full application and screening process, on average, can take up to two hours.  Please be sure to arrive prepared and dressed appropriately for an interview (We ask that candidates not arrive in any of the following; no sandals/flip-flops, no shorts or workout attire, no tank-tops/sleeve-less shirts or dresses and no hats or headgear).  To complete the process applicants must satisfy the Federal I-9, Employment Verification requirement. Applicants must provide an ID/ IDs which establish identity and eligibility to work in the United States.  If you do not meet these requirements you may be asked to return at a later date."
"3","part-time-job","This is a great position for the right person. HEALTHCAREseeker.com (www.example.com)  is an established company that places Registered Nurses into Hospitals on long term temporary positions. We have been in business since 2002 and have achieved INC500 fastest gorwing status. Our industry is starting to boom again!  We are looking to bring on a part time inside sales person who will be calling on Hospitals to land contracts and work with our team of nurse recruiters. If you perform well in this position then full time employment will be offered.   Qualifications: Outgoing and talkative, highly motivated, very reliable, have excellent communication skills, like being on the phone 100% of the time. Enjoys working on a team.   Hours are 10am-3pm or 11am-4pm or 12pm-5pm. Monday - Friday"
"5","5-plus-years-experience-needed full-time-job bs-degree-needed supervising-job","JOB PURPOSE:    The Account Director is responsible for managing and growing existing account relationships through direct management of accounts as well as management of an account servicing team comprised of one or more account management staff.     The Account Director ensures that their account management staff possesses a consistent and complete knowledge of all program implementation processes, insurance and membership product design, direct marketing strategies, customer service, and fulfillment processes.     Act as a liaison between clients at a senior level to maintain a positive client relationship, always look for opportunities to grow their clients and the overall business in order to maximize the campaign performance.  Assists departmental Team Leader with management of projects and Account Management team initiatives.     ESSENTIAL JOB RESPONSIBILITIES, DUTIES, TASKS:  • Client / Partner Management Responsibilities:  o Drives overall strategy for client relationship and multi-product / channel programs.  o Provides excellent and frequent high-level client service.  Involves frequent client visits and managing special client requests.  Is responsible for research and follow-up on all client requests and issues.  o Oversees more complex communications with client, partners and internal team members.  o Possesses complete knowledge of competitive entities in regards to their particular clients and communicates this information to internal team members in order to drive the development of appropriate marketing strategies.  o Collaborates with other Account Directors in discussing other client relationships, sharing learning’s, etc…  o Leads client brainstorming discussions on things such as, but not limited to:   how to make-up negative variance   product ideation   creative ideation   results review / improvement initiatives.  • Management / Company-wide / Other Responsibilities:  o Demonstrates and portrays a complete understanding of the Company’s direction and mission, and manages client relationships and internal team members accordingly.  o Regularly provides leadership and / or guidance to all junior account management team members.  o Hires, trains and develops account management team members to meet organizational objectives.  Regularly reviews direct reports’ performance and addresses both formally and informally.  Continuously provides them with appropriate motivation and means to succeed.  o Provides direction to direct reports on the management of their clients, including, but not limited to, all aspects of program implementation, financial reporting, involvement in client conference calls / meetings as needed, and strategic and marketing planning.  o Understands the management of a business area and has significant responsibility for the functionality of that area.  This includes the management of team members, allocation / completion of workload, and the distribution of resources.  o Understands the spending / expenses of the business area, including decisions related to staffing levels and allocation of resources.  o Primary point of contact for all activity related to their business area.  o Takes ownership in maintaining their business area’s commitments and cross-functional team efforts.  o Leads other company initiatives such as task forces and results improvement initiatives.  o Manages additional projects or initiatives assigned by his / her manager.    • Implementation / Program Management Responsibilities:  o Drives client financials and compensation agreements, to include, but not limited to:   Client variances in the marketing budget / forecast and calendar, and is responsible for working with their account management team to proactively determine ways to make up any negative variance for client and the Company.   Analyzes all reporting throughout the life of the campaign to accurately speak to results, persistency, trends, what’s working, what isn’t, etc…   Mentors their account management team to conduct campaign post-mortem sessions with clients for all programs.   New program / product pricing, benefits, amendment / contractual needs, etc…   Complete and thorough understanding of clients’ and the Company’s compensation structures, pricing models, contract terms, etc…  o Works with all internal functional teams, clients and partners to develop integrated annual marketing plans.    SUPERVISING FUNCTIONS:  Two Account Representatives reporting to this position.    SCOPE:  This position is responsible for ensuring their team is staffed and trained accordingly so they may achieve accurate and on time delivery of all client marketing campaigns, and excellent client servicing abilities, in an effort to help the company and its clients hit their annual revenue numbers.    CRITICAL CORE COMPETENCIES:  • Leadership - inspires and gains the commitment and respect of functional team members and/or external partners / clients and Executive Management.  Must be a role model for other associates, and empowers others.    • Team Work – must have ability to work with all Account Management team members and functional teams.  Fosters a positive team work attitude and environment within the Account Management Team as well as across the entire organization.    • Thinking Clearly & Analytically - makes recommendations, follows though, and demonstrates good judgment on all levels.  Consistently takes the initiative towards solving problems and understanding inter-relationships and the “big picture” within the organization.  Anticipates business needs, thinks “out of the box”, questions status quo.    • Financial Management - understands financial impact of all marketing decisions and is fiscally responsible for their clients’ marketing plans.    • Flexibility – must adapt to new/different or changing business environments, respects and supports change, interested in learning new ways of working, stimulates and encourages change to push the business.      CRITICAL MANAGEMENT COMPETENCIES:     • Ability to Motivate - articulation of mission/goals, generates enthusiasm for accomplishing goals; organize team members to accomplish goals.  Ability to modify management style to each situation.    • Strategic Planning - keeps abreast of development in the Marketing / Banking industry, utilizes internal and external best practices.       • Ability/Willingness to Communicate to Staff - communication of the Company’s vision to staff members, must have willingness to share plans, goals etc.  Must be visible and accessible to employees.    • Decisiveness - makes choices quickly and surely, without having any doubts.    • Coaching, Mentoring - provides constructive feedback effectively and when appropriate, encourages growth and development and takes an active role in developing direct reports.  Gives others the opportunity to master new duties or projects.    REQUIRED: KNOWLEDGE / SKILLS / ABILITIES / EXPERIENCE / EDUCATION   • Four-year college degree in Marketing or related field  • Six plus years’ client management / servicing experience  • Proven ability to lead, manage, develop and motivate a team  • Strong interpersonal and demonstrated senior, and executive-level client relationship development skills  • Must be a detail-oriented self-starter able to handle multiple tasks with little supervision  • Must possess excellent oral and written communication skills with strong direct marketing financials and analytical ability  • Solid skills in MS Office products particularly in MS Outlook, Word, Excel and PowerPoint    PREFERRED: KNOWLEDGE / SKILLS / ABILITIES / EXPERIENCE / EDUCATION   • Direct marketing and / or advertising experience.  • Financial Institution Marketplace and/or Insurance Industry experience.  • Experience with Six Sigma processes.    An Equal Opportunity Employer    "
"7","full-time-job ms-or-phd-needed 5-plus-years-experience-needed","*E Learning Instructional Designer with at least 5+ years of “hands on” experience working with Articulate and or Captivate (ISD Masters Degree and LMS experience would be a plus.)*  Our client, a stable company (40 years), has a current opening for an experienced Instructional Design Professional who lives within a *45 minute commute to Zip code 20785 (Metro D.C. Area).*  Our client would like to offer the right qualified candidate an opportunity to consider joining their creative team as a Contract-to-Direct Hire worker for several months working 30+ hours per week. After working as a contractor they will be considered for a permanent position. While on the contract assignment they will receive a weekly pay check .  This opportunity is with our clients Digital Marketing, Training Division which markets training products and services to their domestic and international commercial and government customers. Successful candidates must be *hands on, roll up the sleeves, get err done* type of ISD Professional. During an interview, candidates will be required to demonstrate examples of work they have completed using Articulate and /or Captivate.  *Interviews will be held beginning this week and the successful candidate should be available to begin this contract assignment immediately*  If you are qualified and interested in learning more about this opportunity, please respond with a current resume including all of your contact data – Please include a telephone number and a best time for me to call.  David Rogers Executive Director e-Learning Staffing"
"10","full-time-job hourly-wage","Immediate opening for full time staffing coordinator with HealthCare Staffing, Inc. in Bolingbrook, IL. HealthCare Staffing, Inc. to staff PT, OT, SLP in home health, school, out patient, clinic and nursing homes. We have about 80 home health agencies as our clients in Chicago metropolitan area. We are looking for self motivated, multi tasking and efficient communicator who can staff the home health referral from our clients to our various PTs, OTs and SLPs. follow up with therapist about the visits and communicate efficiently and effectively with our clients and employees. Should have the skills to expand the clientele and add new employees. Previous experience working for home health agency or staffing agency in healthcare is must.  The expected base salary is $12-$16 per hr. This is a salaried position. We also offer medical ins (BCBS), 401K, paid holidays, sick days, direct deposit and bonus incentive. Interested candidates please fax your resume to  XXX "
"13","full-time-job","A Leader in the Field of Photonics  Founded in 1969 by Robert Johnson D. Sc., President and Technical Director, Omega Optical is a leader in photonics, exploring new areas with fresh ideas, an eager team, and the latest technology to produce the best in optical Interference filters. Our products encompass many markets and applications including;  Medical Diagnostics: Point-of-Care Instrumentation, Hematology, Macular Degeneration, Real-Time Patient Monitoring and more. Industrial: Environmental Monitoring, Machine Vision Systems, Spectroscopy, Lasers, Color Correction, Source Leveling and more. Defense, Aerospace and Astronomy: Infra-Red Vision Systems, targeting systems, LIDAR, Conflict/Weapon Simulators, Outer Space Based Instrumentation, Ground-Based Telescope Systems, and more.  Omega Optical currently seeks a full time phone receptionist/accounting clerk.  This is a combined position.  Reception duties include but are not limited to:  Answering all incoming calls, screening and direct calls. Take and relay messages.  Transferring calls when necessary. Providing general information to callers if necessary. Dealing with queries from the public and customers if necessary. Providing general administrative and clerical support.  Accounting duties include distributing incoming mail, processing electronic bank deposits, assisting with Accounts Receivable duties such as mailing invoices/statements, Accounts Payable disbursements, matching invoices with product receipts, filing, copying and scanning.   Education and Experience  CANDIDATE MUST HAVE MICROSOFT OFFICE KNOWLEDGE, EXCEL.  KNOWLEDGE OF PEACHTREE OR QUICKBOOKS IS HELPFUL BUT NOT REQUIRED.  Knowledge of administrative and clerical procedures Knowledge of computers and relevant software application Knowledge of customer service principles and practices   Key Competencies  Verbal and written communication skills Professional personal presentation     Customer service orientation    Organizing and planning Attention to detail Initiative Reliability Stress tolerance   Complete benefits package available after 90 days."
"20","full-time-job salary","New York Police Department    *Take The NYPD Police Officer Exam*    *At One Of The New York City Testing Centers!*    *In Downtown Brooklyn OR Lower Manhattan*    Take the NYPD Exam 6 days a week (Mon – Sat) at one of the NYC Testing Centers located in Downtown Brooklyn and Lower Manhattan.    *A CAREER WITH A FUTURE*    *Why should you consider a career as a Police Officer?* Aside from the benefits and stability that surpass what many industries are providing today, the police profession offers a variety of work assignments, and unlimited growth opportunities. This is a career that doesn't tie you to a desk; in fact it allows you to be part of the community, meeting people and resolving real world problems.    *A CAREER WITH A VERY COMPETITIVE SALARY*    Police Officers receive full pay and benefits from their first day of recruit training. The salary schedule (per annum) for Police Officers will be:    *Base Pay: Total Compensation:*  * Currently $41,975 $44,744  * After 1½ years $43,644 $48,173  * After 2½ years $48,779 $53,819  * After 3½ years $53,270 $58,786  * After 4½ years $56,609 $62,455  * After 5 years $56,609 $69,005  * After 5½ years $76,488 $90,829    The base pay will increase every year to $76,488 after 5½ years. When including base pay, longevity pay, night shift differential, holiday pay, and uniform allowance, a *Police Officer will earn $90,829 before overtime after 5½ years of service.*    *A CAREER WITH EXCEPTIONAL BENEFITS*  * 10 Paid vacation days during first & second year  * 13 Paid vacation days during third, fourth and fifth year  * 27 Paid vacation days after 5 years of service  * Excellent promotional opportunities  * Unlimited sick leave with full pay  * A choice of paid medical programs  * Prescription, dental, and eye glass coverage  * Annuity fund  * Availability of a deferred Compensation Plan, 401K and I.R.A.  * Optional retirement at ½ salary after 22 years of service  * Annual $12,000 Variable Supplement Fund (Upon retirement)  * Annual banking of $12,000 Variable Supplement Fund after 22 years of service (If not retiring)  * Additional benefits are available for Military Personnel    *A CAREER WHERE YOU CAN ADVANCE*    Every Police Executive started as a Police Officer and Police Officers develop expertise in everything from computers to community organization. With over 300 Specialized Units, there are no glass ceilings or dead ends. You can go as far as your willingness and determination will take you. Many of our officers become specialists in Aviation, Highway Patrol, Emergency Services, Crime Scene Analysis, Criminal Investigations, Drug Enforcement, Detective Bureau and much more. The skills you'll learn, the growth you'll experience and the benefits you'll earn will truly last a lifetime.    AFTER THE WRITTEN TEST... you must pass:  * Medical examination (including a drug screening test)  * Psychological examination  * Physical agility examination  * Background & character investigation    THE DAY YOU ARE HIRED… you must:  * Be a United States Citizen  * Be at least 21 years old  * Have 60 college credits with at least a 2.0 GPA or 2 years active military experience  * Have a valid NYS driver’s license without restrictions  * Not have been convicted of a felony  * Be a resident of New York City or the counties of Nassau, Suffolk, Westchester, Rockland, Orange or Putnam Counties    FOR FURTHER INFORMATION CALL 212-R-E-C-R-U-I-T    Or visit: www.example.com    You can also visit us on Facebook www.example.com or Twitter www.example.com    *Take The NYPD Police Officer Exam.*    _NYPD is an Equal Opportunity Employer_"
"28","licence-needed part-time-job salary","Qualifications:  Seeking a part time Rehabilitation Therapist (PTA, ATC, RMT, Exercise Physiology / Kinesiology Degree) with a special interest in orthopedics and massage for our *Humble* area office. New graduates welcome - *degree and clinical experience with e-stim, u/s, and massage is required to apply.*  Job Description:  Integrated Therapeutic Services (I.T.S.) is a rapidly growing, dynamic company located in Houston, Texas. As a healthcare provider we specialize in the treatment and rehabilitation of sports and orthopedic related injuries. Our therapists are responsible for maintaining accurate medical records, implementing rehabilitative care, and communicating directly with doctors. If you are a self-motivated, flexible person who likes to work independently, we would like to talk to you!  *Must include a cover letter with salary requirements when applying.*"
"30","licence-needed full-time-job 2-4-years-experience-needed","Drivers -   Class A CDL  Black Horse Carriers is one of the fastest growing Transportation companies in the country.  When you join our team of dedicated Drivers, you’ll understand why.  If you need to increase your compensation, We are your Company!  If you value your CSA score and your future in this industry, We are your company! If you want to drive top of the line equipment, We are your company with 2013 Freightliner Day Cabs, with 15 liter engines, Deluxe cab interiors with comfort seats, and many other amenities.  BLACK HORSE CARRIERS has openings in the York, PA  area: Local day cab work.  Early morning starts.  $950  -  $1,150 per week.  No touch freight.  Monday through Friday.  Full  time positions come with full benefits, 401K and paid vacation. If you have 3 yrs. Exp. and a Class A CDL with a clean MVR,  please call  XXX  or apply below.   Our drivers are safety conscious, professional minded and customer service oriented. The following is also offered for all full-time positions:  Health, Dental and Vision insurance 401k program Company paid life insurance Short term and long term disability insurance 6 paid holidays Paid Vacation  Driver referral bonus  JOB REQUIREMENTS Minimum Qualifications:  Must be at least 25 years old 3 years verifiable Class ‘A’ Tractor-Trailer experience No positive and/or refused drug and alcohol test(s) Stable work history and excellent safety record Clean MVR, no serious violations in the last 5 years  EOE. Drug Testing is a condition of employment"
"48","part-time-job","*STUDENT ENTREPRENEUR INTERNSHIP*     Are You an Ambitious Future Business Leader?     We are currently hiring self-motivated, entrepreneurial students or grads who are eager to challenge themselves professionally and build their resume towards a successful career.     WHAT THE INTERNSHIP PROGRAM OFFERS:  1) Comprehensive business training program  2) Full-time work during summer 2012  3) Leading a team of student employees who work for you  4) Real-world business experience unlike any other internship  5) Great income potential     STARTING NOW:  A flexible part-time training program during the school year will prepare you for success in the full-time summer 2012 position and future business endeavors.     DUTIES:  1) Marketing and sales  2) Staff and project management  3) Client relations  4) Business operations     No previous business or management experience is necessary but a qualified candidate will be business savvy, entrepreneurial and good with customers.     REQUIREMENTS:  *Valid driver's license and vehicle  *Available full-time for summer 2012  *Great attitude and work ethic  *Desire to manage staff and business operations     TO APPLY:  Include the following:  •    Your contact information  •    Resume  •    A paragraph about yourself"
